Lower Super Output Area,Name,LAD code,Borough,Total Mean Annual Household Income estimate,Total Median Annual Household Income estimate
E01000001,City of London 001A,E09000001,City of London,"£74,846","£58,347"
E01000002,City of London 001B,E09000001,City of London,"£73,325","£57,159"
E01000003,City of London 001C,E09000001,City of London,"£44,130","£34,387"
E01000005,City of London 001E,E09000001,City of London,"£30,781","£24,000"
E01032739,City of London 001F,E09000001,City of London,"£68,022","£53,017"
E01032740,City of London 001G,E09000001,City of London,"£67,266","£52,427"
E01000006,Barking and Dagenham 016A,E09000002,Barking and Dagenham,"£46,141","£39,141"
E01000007,Barking and Dagenham 015A,E09000002,Barking and Dagenham,"£30,822","£26,229"
E01000008,Barking and Dagenham 015B,E09000002,Barking and Dagenham,"£28,359","£24,204"
E01000009,Barking and Dagenham 016B,E09000002,Barking and Dagenham,"£38,261","£32,464"
E01000010,Barking and Dagenham 015C,E09000002,Barking and Dagenham,"£37,277","£31,630"
E01000011,Barking and Dagenham 016C,E09000002,Barking and Dagenham,"£33,133","£28,129"
E01000012,Barking and Dagenham 015D,E09000002,Barking and Dagenham,"£32,617","£27,705"
E01000013,Barking and Dagenham 013A,E09000002,Barking and Dagenham,"£32,742","£27,808"
E01000014,Barking and Dagenham 013B,E09000002,Barking and Dagenham,"£32,308","£27,451"
E01000015,Barking and Dagenham 009A,E09000002,Barking and Dagenham,"£31,525","£26,807"
E01000016,Barking and Dagenham 009B,E09000002,Barking and Dagenham,"£33,564","£28,484"
E01000017,Barking and Dagenham 009C,E09000002,Barking and Dagenham,"£32,479","£27,591"
E01000018,Barking and Dagenham 009D,E09000002,Barking and Dagenham,"£33,843","£28,721"
E01000019,Barking and Dagenham 023A,E09000002,Barking and Dagenham,"£33,770","£28,659"
E01000020,Barking and Dagenham 023B,E09000002,Barking and Dagenham,"£33,995","£28,850"
E01000021,Barking and Dagenham 008A,E09000002,Barking and Dagenham,"£30,890","£26,285"
E01000022,Barking and Dagenham 008B,E09000002,Barking and Dagenham,"£35,700","£30,295"
E01000023,Barking and Dagenham 008C,E09000002,Barking and Dagenham,"£33,986","£28,842"
E01000024,Barking and Dagenham 008D,E09000002,Barking and Dagenham,"£33,338","£28,298"
E01000025,Barking and Dagenham 008E,E09000002,Barking and Dagenham,"£34,076","£28,918"
E01000027,Barking and Dagenham 001A,E09000002,Barking and Dagenham,"£31,995","£27,194"
E01000028,Barking and Dagenham 001B,E09000002,Barking and Dagenham,"£30,915","£26,306"
E01000029,Barking and Dagenham 001C,E09000002,Barking and Dagenham,"£43,034","£36,508"
E01000030,Barking and Dagenham 001D,E09000002,Barking and Dagenham,"£29,508","£25,149"
E01000031,Barking and Dagenham 002A,E09000002,Barking and Dagenham,"£47,995","£40,711"
E01000032,Barking and Dagenham 002B,E09000002,Barking and Dagenham,"£40,236","£34,137"
E01000033,Barking and Dagenham 006A,E09000002,Barking and Dagenham,"£30,600","£26,046"
E01000034,Barking and Dagenham 003A,E09000002,Barking and Dagenham,"£36,749","£31,183"
E01000035,Barking and Dagenham 010A,E09000002,Barking and Dagenham,"£37,206","£31,571"
E01000036,Barking and Dagenham 010B,E09000002,Barking and Dagenham,"£43,059","£36,530"
E01000037,Barking and Dagenham 003B,E09000002,Barking and Dagenham,"£52,891","£44,859"
E01000038,Barking and Dagenham 003C,E09000002,Barking and Dagenham,"£46,891","£39,776"
E01000039,Barking and Dagenham 003D,E09000002,Barking and Dagenham,"£45,153","£38,303"
E01000040,Barking and Dagenham 019A,E09000002,Barking and Dagenham,"£32,533","£27,636"
E01000041,Barking and Dagenham 017A,E09000002,Barking and Dagenham,"£33,990","£28,845"
E01000042,Barking and Dagenham 017B,E09000002,Barking and Dagenham,"£30,690","£26,121"
E01000043,Barking and Dagenham 019B,E09000002,Barking and Dagenham,"£33,452","£28,391"
E01000044,Barking and Dagenham 016D,E09000002,Barking and Dagenham,"£35,327","£29,978"
E01000045,Barking and Dagenham 017C,E09000002,Barking and Dagenham,"£34,783","£29,517"
E01000046,Barking and Dagenham 017D,E09000002,Barking and Dagenham,"£32,992","£28,014"
E01000048,Barking and Dagenham 021B,E09000002,Barking and Dagenham,"£24,121","£20,719"
E01000049,Barking and Dagenham 021C,E09000002,Barking and Dagenham,"£27,743","£23,697"
E01000050,Barking and Dagenham 019C,E09000002,Barking and Dagenham,"£32,049","£27,238"
E01000051,Barking and Dagenham 021D,E09000002,Barking and Dagenham,"£23,806","£20,461"
E01000052,Barking and Dagenham 019D,E09000002,Barking and Dagenham,"£32,775","£27,835"
E01000053,Barking and Dagenham 020A,E09000002,Barking and Dagenham,"£31,904","£27,119"
E01000054,Barking and Dagenham 018A,E09000002,Barking and Dagenham,"£34,017","£28,868"
E01000055,Barking and Dagenham 018B,E09000002,Barking and Dagenham,"£34,378","£29,174"
E01000056,Barking and Dagenham 018C,E09000002,Barking and Dagenham,"£32,965","£27,991"
E01000057,Barking and Dagenham 012A,E09000002,Barking and Dagenham,"£33,159","£28,151"
E01000058,Barking and Dagenham 018D,E09000002,Barking and Dagenham,"£34,157","£28,987"
E01000059,Barking and Dagenham 013C,E09000002,Barking and Dagenham,"£32,947","£27,976"
E01000060,Barking and Dagenham 006B,E09000002,Barking and Dagenham,"£32,337","£27,475"
E01000061,Barking and Dagenham 006C,E09000002,Barking and Dagenham,"£24,440","£20,982"
E01000062,Barking and Dagenham 006D,E09000002,Barking and Dagenham,"£34,748","£29,488"
E01000063,Barking and Dagenham 004A,E09000002,Barking and Dagenham,"£32,681","£27,758"
E01000064,Barking and Dagenham 006E,E09000002,Barking and Dagenham,"£32,736","£27,803"
E01000065,Barking and Dagenham 007A,E09000002,Barking and Dagenham,"£31,645","£26,906"
E01000066,Barking and Dagenham 011A,E09000002,Barking and Dagenham,"£43,557","£36,951"
E01000067,Barking and Dagenham 011B,E09000002,Barking and Dagenham,"£47,084","£39,939"
E01000068,Barking and Dagenham 016E,E09000002,Barking and Dagenham,"£50,176","£42,559"
E01000069,Barking and Dagenham 011C,E09000002,Barking and Dagenham,"£55,729","£47,264"
E01000070,Barking and Dagenham 011D,E09000002,Barking and Dagenham,"£52,181","£44,258"
E01000071,Barking and Dagenham 011E,E09000002,Barking and Dagenham,"£46,041","£39,056"
E01000072,Barking and Dagenham 017E,E09000002,Barking and Dagenham,"£29,631","£25,250"
E01000073,Barking and Dagenham 012B,E09000002,Barking and Dagenham,"£33,157","£28,149"
E01000074,Barking and Dagenham 012C,E09000002,Barking and Dagenham,"£32,665","£27,744"
E01000075,Barking and Dagenham 012D,E09000002,Barking and Dagenham,"£34,043","£28,890"
E01000076,Barking and Dagenham 012E,E09000002,Barking and Dagenham,"£31,348","£26,661"
E01000077,Barking and Dagenham 008F,E09000002,Barking and Dagenham,"£31,503","£26,789"
E01000078,Barking and Dagenham 007B,E09000002,Barking and Dagenham,"£30,616","£26,060"
E01000079,Barking and Dagenham 009E,E09000002,Barking and Dagenham,"£32,165","£27,333"
E01000080,Barking and Dagenham 007C,E09000002,Barking and Dagenham,"£31,995","£27,194"
E01000081,Barking and Dagenham 007D,E09000002,Barking and Dagenham,"£33,174","£28,163"
E01000082,Barking and Dagenham 007E,E09000002,Barking and Dagenham,"£33,237","£28,215"
E01000083,Barking and Dagenham 007F,E09000002,Barking and Dagenham,"£32,008","£27,204"
E01000084,Barking and Dagenham 013D,E09000002,Barking and Dagenham,"£32,285","£27,432"
E01000085,Barking and Dagenham 013E,E09000002,Barking and Dagenham,"£30,100","£25,635"
E01000086,Barking and Dagenham 013F,E09000002,Barking and Dagenham,"£34,128","£28,962"
E01000087,Barking and Dagenham 020B,E09000002,Barking and Dagenham,"£32,352","£27,487"
E01000088,Barking and Dagenham 020C,E09000002,Barking and Dagenham,"£37,771","£32,049"
E01000089,Barking and Dagenham 020D,E09000002,Barking and Dagenham,"£34,417","£29,207"
E01000090,Barking and Dagenham 020E,E09000002,Barking and Dagenham,"£36,849","£31,268"
E01000091,Barking and Dagenham 022A,E09000002,Barking and Dagenham,"£27,765","£23,715"
E01000092,Barking and Dagenham 019E,E09000002,Barking and Dagenham,"£37,556","£31,867"
